ResponseId,PROLIFIC_PID,ChartType,actual,analogy,actualOverlay,analogyOverlay
R_80P2HAsmCHZkbq8,60f47600a931759ef3d1a505,Heatmap,/Users/h2o/Desktop/finalSketches/HeatmapActual/R_80P2HAsmCHZkbq8_signature.png,/Users/h2o/Desktop/finalSketches/HeatmapAnalogy/R_80P2HAsmCHZkbq8_signature.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/heatmap/R_80P2HAsmCHZkbq8_signature.png_actual_composite.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/heatmap/R_80P2HAsmCHZkbq8_signature.png_analogy_composite.png
R_2xxuuFrPu8yIUzp,6604674670aaf5b1fd5fa623,StackedArea,/Users/h2o/Desktop/finalSketches/StackedAreaBaseline/R_2xxuuFrPu8yIUzp_signature.png,/Users/h2o/Desktop/finalSketches/StackedAreaAnalogy/R_2xxuuFrPu8yIUzp_signature.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/stackedArea/R_2xxuuFrPu8yIUzp_signature.png_actual_composite.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/stackedArea/R_2xxuuFrPu8yIUzp_signature.png_analogy_composite.png
R_8Cw0ccQGdR3Ewmh,66d70f8a63fd78797e0776e1,ButterflyChart,/Users/h2o/Desktop/finalSketches/ButterflyActual/R_8Cw0ccQGdR3Ewmh_signature.png,/Users/h2o/Desktop/finalSketches/ButterflyAnalogy/R_8Cw0ccQGdR3Ewmh_signature.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/butterfly/R_8Cw0ccQGdR3Ewmh_signature.png_actual_composite.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/butterfly/R_8Cw0ccQGdR3Ewmh_signature.png_analogy_composite.png
R_4iW5phNDZpIP8Ra,65f2c94f51a74efdab1d1442,Waterfall,/Users/h2o/Desktop/finalSketches/WaterfallActual/R_4iW5phNDZpIP8Ra_signature.png,/Users/h2o/Desktop/finalSketches/WaterfallAnalogy/R_4iW5phNDZpIP8Ra_signature.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/waterfall/R_4iW5phNDZpIP8Ra_signature.png_actual_composite.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/waterfall/R_4iW5phNDZpIP8Ra_signature.png_analogy_composite.png
R_810qGiLH4P85Dae,60cd29821711a41cf8d42a92,Sunburst,/Users/h2o/Desktop/finalSketches/Sunburst Draw/R_810qGiLH4P85Dae_signature.png,/Users/h2o/Desktop/finalSketches/SunburstAnalogy/R_810qGiLH4P85Dae_signature.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/sunburst/R_810qGiLH4P85Dae_signature.png_actual_composite.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/sunburst/R_810qGiLH4P85Dae_signature.png_analogy_composite.png
R_7upjLmYQVr3aZEJ,663a27bfa1e92a6df3aa5a29,BubbleChart,/Users/h2o/Desktop/finalSketches/BubbleActual/R_7upjLmYQVr3aZEJ_signature.png,/Users/h2o/Desktop/finalSketches/BubbleAnalogy/R_7upjLmYQVr3aZEJ_signature.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/bubble/R_7upjLmYQVr3aZEJ_signature.png_actual_composite.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/bubble/R_7upjLmYQVr3aZEJ_signature.png_analogy_composite.png
R_54kICZD2LftXRSN,676191c90a2f4ed117de625d,Sunburst,/Users/h2o/Desktop/finalSketches/Sunburst Draw/R_54kICZD2LftXRSN_signature.png,/Users/h2o/Desktop/finalSketches/SunburstAnalogy/R_54kICZD2LftXRSN_signature.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/sunburst/R_54kICZD2LftXRSN_signature.png_actual_composite.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/sunburst/R_54kICZD2LftXRSN_signature.png_analogy_composite.png
R_2KZ0NRubjDaUzKi,65cf6d8a589a67afcab54e6f,Heatmap,/Users/h2o/Desktop/finalSketches/HeatmapActual/R_2KZ0NRubjDaUzKi_signature.png,/Users/h2o/Desktop/finalSketches/HeatmapAnalogy/R_2KZ0NRubjDaUzKi_signature.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/heatmap/R_2KZ0NRubjDaUzKi_signature.png_actual_composite.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/heatmap/R_2KZ0NRubjDaUzKi_signature.png_analogy_composite.png
R_2L6kx3LtmHvGacl,6717c466a1a5d0cb15bca12e,BubbleChart,/Users/h2o/Desktop/finalSketches/BubbleActual/R_2L6kx3LtmHvGacl_signature.png,/Users/h2o/Desktop/finalSketches/BubbleAnalogy/R_2L6kx3LtmHvGacl_signature.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/bubble/R_2L6kx3LtmHvGacl_signature.png_actual_composite.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/bubble/R_2L6kx3LtmHvGacl_signature.png_analogy_composite.png
R_8kNvAcFzzYy7N81,669805578284a188217bd535,Heatmap,/Users/h2o/Desktop/finalSketches/HeatmapActual/R_8kNvAcFzzYy7N81_signature.png,/Users/h2o/Desktop/finalSketches/HeatmapAnalogy/R_8kNvAcFzzYy7N81_signature.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/heatmap/R_8kNvAcFzzYy7N81_signature.png_actual_composite.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/heatmap/R_8kNvAcFzzYy7N81_signature.png_analogy_composite.png
R_8rMCnhbp4mTFYDr,668c1350cffa1447098fc5fa,BubbleChart,/Users/h2o/Desktop/finalSketches/BubbleActual/R_8rMCnhbp4mTFYDr_signature.png,/Users/h2o/Desktop/finalSketches/BubbleAnalogy/R_8rMCnhbp4mTFYDr_signature.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/bubble/R_8rMCnhbp4mTFYDr_signature.png_actual_composite.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/bubble/R_8rMCnhbp4mTFYDr_signature.png_analogy_composite.png
R_8PuJh6uXGoic6PX,6759785f0485811693adb78a,StackedArea,/Users/h2o/Desktop/finalSketches/StackedAreaBaseline/R_8PuJh6uXGoic6PX_signature.png,/Users/h2o/Desktop/finalSketches/StackedAreaAnalogy/R_8PuJh6uXGoic6PX_signature.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/stackedArea/R_8PuJh6uXGoic6PX_signature.png_actual_composite.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/stackedArea/R_8PuJh6uXGoic6PX_signature.png_analogy_composite.png
R_25yL6bDTb1S1Pu6,676d3ef7769d39d4537e67d4,Histogram,/Users/h2o/Desktop/finalSketches/HistogramActual/R_25yL6bDTb1S1Pu6_signature.png,/Users/h2o/Desktop/finalSketches/HistogramAnalogy/R_25yL6bDTb1S1Pu6_signature.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/histogram/R_25yL6bDTb1S1Pu6_signature.png_actual_composite.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/histogram/R_25yL6bDTb1S1Pu6_signature.png_analogy_composite.png
R_8SuTwo9G0GBp6Ia,671548f8dd0a40f33a705949,ButterflyChart,/Users/h2o/Desktop/finalSketches/ButterflyActual/R_8SuTwo9G0GBp6Ia_signature.png,/Users/h2o/Desktop/finalSketches/ButterflyAnalogy/R_8SuTwo9G0GBp6Ia_signature.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/butterfly/R_8SuTwo9G0GBp6Ia_signature.png_actual_composite.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/butterfly/R_8SuTwo9G0GBp6Ia_signature.png_analogy_composite.png
R_1p5VkxFvGAsGiHm,672424ca4e8e26ce7ca1a389,Waterfall,/Users/h2o/Desktop/finalSketches/WaterfallActual/R_1p5VkxFvGAsGiHm_signature.png,/Users/h2o/Desktop/finalSketches/WaterfallAnalogy/R_1p5VkxFvGAsGiHm_signature.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/waterfall/R_1p5VkxFvGAsGiHm_signature.png_actual_composite.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/waterfall/R_1p5VkxFvGAsGiHm_signature.png_analogy_composite.png
R_2b2X9v3vlIM1SmG,65956da632d08b50de4cc07f,Sunburst,/Users/h2o/Desktop/finalSketches/Sunburst Draw/R_2b2X9v3vlIM1SmG_signature.png,/Users/h2o/Desktop/finalSketches/SunburstAnalogy/R_2b2X9v3vlIM1SmG_signature.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/sunburst/R_2b2X9v3vlIM1SmG_signature.png_actual_composite.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/sunburst/R_2b2X9v3vlIM1SmG_signature.png_analogy_composite.png
R_21HcLozZQLEradW,66dbe8d27823bdf6c4509835,StackedArea,/Users/h2o/Desktop/finalSketches/StackedAreaBaseline/R_21HcLozZQLEradW_signature.png,/Users/h2o/Desktop/finalSketches/StackedAreaAnalogy/R_21HcLozZQLEradW_signature.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/stackedArea/R_21HcLozZQLEradW_signature.png_actual_composite.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/stackedArea/R_21HcLozZQLEradW_signature.png_analogy_composite.png
R_2aasdGAZbcTZKHD,611d0afbb2a19acfd012545b,Heatmap,/Users/h2o/Desktop/finalSketches/HeatmapActual/R_2aasdGAZbcTZKHD_signature.png,/Users/h2o/Desktop/finalSketches/HeatmapAnalogy/R_2aasdGAZbcTZKHD_signature.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/heatmap/R_2aasdGAZbcTZKHD_signature.png_actual_composite.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/heatmap/R_2aasdGAZbcTZKHD_signature.png_analogy_composite.png
R_8Y9oxpdQj48UzsZ,66b8e8f12fa9160e4ca9f25b,Waterfall,/Users/h2o/Desktop/finalSketches/WaterfallActual/R_8Y9oxpdQj48UzsZ_signature.png,/Users/h2o/Desktop/finalSketches/WaterfallAnalogy/R_8Y9oxpdQj48UzsZ_signature.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/waterfall/R_8Y9oxpdQj48UzsZ_signature.png_actual_composite.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/waterfall/R_8Y9oxpdQj48UzsZ_signature.png_analogy_composite.png
R_720uK7rbHLryyt3,613a70774e42055f91081fc5,Waterfall,/Users/h2o/Desktop/finalSketches/WaterfallActual/R_720uK7rbHLryyt3_signature.png,/Users/h2o/Desktop/finalSketches/WaterfallAnalogy/R_720uK7rbHLryyt3_signature.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/waterfall/R_720uK7rbHLryyt3_signature.png_actual_composite.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/waterfall/R_720uK7rbHLryyt3_signature.png_analogy_composite.png
R_8sndAg6gt7jiNHL,5eaf3e142627076426921b1b,BarChart,/Users/h2o/Desktop/finalSketches/BarActual/R_8sndAg6gt7jiNHL_signature.png,/Users/h2o/Desktop/finalSketches/BarAnalogy/R_8sndAg6gt7jiNHL_signature.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/bar/R_8sndAg6gt7jiNHL_signature.png_actual_composite.png,/Users/h2o/Documents/Projects/AnalogyVis/analysis/annotations/bar/R_8sndAg6gt7jiNHL_signature.png_analogy_composite.png
